Experiment	Oscilloscope	
Saved Date	15.08.2022 16:44:50	
User		
Bias>Bias (V)	700E-3	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	-80E-6	
Current>Current (A)	50.0614E-12	
Current>Calibration (A/V)	1E-9	
Current>Offset (A)	-201.468E-15	
Current>Gain	LN 10^9	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	681E+0	
Lock-in>Amplitude	20E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	9.71405E+0	
Lock-in>HP Filter Cutoff D2 (Hz)	9.71405E+0	
Lock-in>HP Filter Order D1	OFF	
Lock-in>HP Filter Order D2	OFF	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	2	
Lock-in>Reference phase D1 (deg)	-31.2984E+0	
Lock-in>Reference phase D2 (deg)	0E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	38.8562E+0	
Lock-in>LP Filter Cutoff D2 (Hz)	621.699E+0	
Lock-in>LP Filter Order D1	4	
Lock-in>LP Filter Order D2	4	
Lock-in>Sync Filter D1	OFF	
Lock-in>Sync Filter D2	ON	
NanonisMain>Session Path	C:\DATA\huly\Re-MoS2\RT009\prep7\07_01_RT009	
NanonisMain>SW Version	Generic 5e	
NanonisMain>UI Release	11796	
NanonisMain>RT Release	11796	
NanonisMain>RT Frequency (Hz)	20E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Acquisition Period (s)	20E-3	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Temperature 2>Temperature 2 (K)	4.83075E+0	
Z-Controller>Z (m)	-70.0269E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	50E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	3E-12	
Z-Controller>I gain	30E-9	
Z-Controller>Time const (s)	100E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Time (s)	Z (m)
0.0000000E+0	-7.0027099E-8
9.9999993E-4	-7.0027056E-8
1.9999999E-3	-7.0026836E-8
2.9999998E-3	-7.0026978E-8
3.9999997E-3	-7.0027085E-8
4.9999999E-3	-7.0027198E-8
5.9999996E-3	-7.0027134E-8
6.9999993E-3	-7.0026871E-8
7.9999994E-3	-7.0027099E-8
8.9999996E-3	-7.0027156E-8
9.9999998E-3	-7.0026999E-8
1.0999999E-2	-7.0027063E-8
1.1999999E-2	-7.0027042E-8
1.2999999E-2	-7.0027099E-8
1.3999999E-2	-7.0027099E-8
1.4999999E-2	-7.0026957E-8
1.5999999E-2	-7.0027141E-8
1.6999999E-2	-7.0027170E-8
1.7999999E-2	-7.0027156E-8
1.8999999E-2	-7.0027397E-8
2.0000000E-2	-7.0027120E-8
