Experiment	bias spectroscopy	
Saved Date	11.08.2022 09:43:46	
User		
Date		
X (m)	85.9696E-9	
Y (m)	107.806E-9	
Z (m)	-60.9077E-9	
Z offset (m)	0E+0	
Settling time (s)	25E-3	
Integration time (s)	250E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	11.08.2022 09:41:51	
Filter type	None	
Order		
Cutoff frq		
Comment01	Vac_S.1 background	
Bias>Bias (V)	-2.1E+0	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	-80E-6	
Bias Spectroscopy>Sweep Start (V)	-2.1E+0	
Bias Spectroscopy>Sweep End (V)	1E+0	
Bias Spectroscopy>Num Pixel	1000	
Bias Spectroscopy>Z Avg time (s)	500E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	1E+0	
Bias Spectroscopy>Settling time (s)	25E-3	
Bias Spectroscopy>Integration time (s)	250E-3	
Bias Spectroscopy>End Settling time (s)	100E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	FALSE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A);Bias (V);Z (m);LI Demod 1 X (A);LI Demod 1 Y (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	TRUE	
Current>Current (A)	-208.29E-12	
Current>Calibration (A/V)	1E-9	
Current>Offset (A)	-201.468E-15	
Current>Gain	LN 10^9	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	681E+0	
Lock-in>Amplitude	10E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	9.71405E+0	
Lock-in>HP Filter Cutoff D2 (Hz)	9.71405E+0	
Lock-in>HP Filter Order D1	OFF	
Lock-in>HP Filter Order D2	OFF	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	2	
Lock-in>Reference phase D1 (deg)	-31.2984E+0	
Lock-in>Reference phase D2 (deg)	0E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	38.8562E+0	
Lock-in>LP Filter Cutoff D2 (Hz)	621.699E+0	
Lock-in>LP Filter Order D1	4	
Lock-in>LP Filter Order D2	4	
Lock-in>Sync Filter D1	OFF	
Lock-in>Sync Filter D2	ON	
NanonisMain>Session Path	C:\DATA\huly\Re-MoS2\RT009\prep7\07_01_RT009	
NanonisMain>SW Version	Generic 5e	
NanonisMain>UI Release	11796	
NanonisMain>RT Release	11796	
NanonisMain>RT Frequency (Hz)	20E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Acquisition Period (s)	20E-3	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Oscillation Control>differential input	TRUE	
Oscillation Control>input 1/10	FALSE	
Oscillation Control>Input Calibration (m/V)	73.3E-9	
Oscillation Control>Input Range (m)	500E-12	
Oscillation Control>Center Frequency (Hz)	29.9368E+3	
Oscillation Control>Range (Hz)	76.2939E+0	
Oscillation Control>Demod 1 Input	1	
Oscillation Control>Demod 2 Input	1	
Oscillation Control>Demod 3 Input	1	
Oscillation Control>Demod 4 Input	1	
Oscillation Control>Demod 1 Frequency	1	
Oscillation Control>Demod 2 Frequency	1	
Oscillation Control>Demod 3 Frequency	1	
Oscillation Control>Demod 4 Frequency	1	
Oscillation Control>Demod 1 Reference Phase (deg)	74.31E+0	
Oscillation Control>Demod 2 Reference Phase (deg)	44.2121E+0	
Oscillation Control>Demod 3 Reference Phase (deg)	44.1993E+0	
Oscillation Control>Demod 4 Reference Phase (deg)	44.2044E+0	
Oscillation Control>Demod 1 Cut off frq (Hz)	777	
Oscillation Control>Demod 2 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 3 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 4 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 1 Harmonic	1	
Oscillation Control>Demod 2 Harmonic	1	
Oscillation Control>Demod 3 Harmonic	1	
Oscillation Control>Demod 4 Harmonic	1	
Oscillation Control>Demod 1 Filter Order	2	
Oscillation Control>Demod 2 Filter Order	2	
Oscillation Control>Demod 3 Filter Order	2	
Oscillation Control>Demod 4 Filter Order	2	
Oscillation Control>Phase P gain (Hz/rad)	698.132E-3	
Oscillation Control>Phase I gain (Hz/rad/s)	1.39981E+0	
Oscillation Control>Phase controller on	FALSE	
Oscillation Control>FrequencyShift (Hz)	0E+0	
Oscillation Control>Amplitude Setpoint (m)	100E-12	
Oscillation Control>Amplitude P gain (V/nm)	80.3224E+9	
Oscillation Control>Amplitude I gain (V/nm/s)	161.052E+9	
Oscillation Control>Amplitude controller on	FALSE	
Oscillation Control>Excitation (V)	-96.6069E-3	
Oscillation Control>Output Ampl. Range (V)	0.1	
Oscillation Control>output off	FALSE	
Oscillation Control>output add	FALSE	
Oscillation Control>PLL-Setup Q-Factor	23.544E+3	
Oscillation Control>PLL-Setup Demod. Bandwidth Amp (Hz)	234.699E+0	
Oscillation Control>PLL-Setup Demod. Bandwidth Pha (Hz)	40E+0	
Oscillation Control>PLL-Setup amplitude/excitation (m/V)	4.596E-9	
Temperature 2>Temperature 2 (K)	4.83866E+0	
Z-Controller>Z (m)	-60.9077E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	OFF	
Z-Controller>Setpoint	250E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	5E-12	
Z-Controller>I gain	16.6667E-9	
Z-Controller>Time const (s)	300E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	
Current (A)	-248.56972E-12	
Z (m)	-60.907659E-9	
LI Demod 1 X (A)	100.12037E-15	
LI Demod 1 Y (A)	-86.251759E-15	

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)
-2.0999999E+0	-250.37999E-12	-2.0999999E+0	-60.907659E-9	6.3498521E-12	7.0403787E-12
-2.0968969E+0	-248.52795E-12	-2.0968969E+0	-60.907659E-9	6.3382884E-12	7.0152048E-12
-2.0937936E+0	-247.31775E-12	-2.0937936E+0	-60.907659E-9	6.3428394E-12	6.9955096E-12
-2.0906906E+0	-246.68367E-12	-2.0906906E+0	-60.907659E-9	6.3549977E-12	7.0290956E-12
-2.0875876E+0	-246.56296E-12	-2.0875876E+0	-60.907659E-9	6.3547037E-12	6.9916477E-12
-2.0844843E+0	-244.20735E-12	-2.0844843E+0	-60.907659E-9	6.3005534E-12	7.0133005E-12
-2.0813813E+0	-243.52409E-12	-2.0813813E+0	-60.907659E-9	6.2981478E-12	7.0381448E-12
-2.0782781E+0	-242.19660E-12	-2.0782781E+0	-60.907659E-9	6.3027838E-12	7.0269233E-12
-2.0751750E+0	-241.16326E-12	-2.0751750E+0	-60.907659E-9	6.3096095E-12	7.0311383E-12
-2.0720720E+0	-240.48938E-12	-2.0720720E+0	-60.907659E-9	6.3330743E-12	7.0163948E-12
-2.0689688E+0	-238.67647E-12	-2.0689688E+0	-60.907659E-9	6.3278458E-12	7.0652043E-12
-2.0658658E+0	-238.59845E-12	-2.0658658E+0	-60.907659E-9	6.3510755E-12	7.0338410E-12
-2.0627627E+0	-236.44103E-12	-2.0627627E+0	-60.907659E-9	6.3508704E-12	7.0730791E-12
-2.0596595E+0	-235.50070E-12	-2.0596595E+0	-60.907659E-9	6.3629323E-12	7.0413749E-12
-2.0565565E+0	-234.46278E-12	-2.0565565E+0	-60.907659E-9	6.3713965E-12	6.9918147E-12
-2.0534534E+0	-234.01744E-12	-2.0534534E+0	-60.907659E-9	6.3059813E-12	7.0298329E-12
-2.0503502E+0	-232.25484E-12	-2.0503502E+0	-60.907659E-9	6.3235541E-12	7.0270894E-12
-2.0472472E+0	-231.42877E-12	-2.0472472E+0	-60.907659E-9	6.3612514E-12	6.9848983E-12
-2.0441442E+0	-230.87347E-12	-2.0441442E+0	-60.907659E-9	6.3729499E-12	7.0373850E-12
-2.0410409E+0	-229.57865E-12	-2.0410409E+0	-60.907659E-9	6.3814392E-12	7.0224603E-12
-2.0379379E+0	-228.66796E-12	-2.0379379E+0	-60.907659E-9	6.3808702E-12	7.0236928E-12
-2.0348349E+0	-228.05158E-12	-2.0348346E+0	-60.907659E-9	6.3595787E-12	7.0433308E-12
-2.0317316E+0	-226.97109E-12	-2.0317316E+0	-60.907659E-9	6.3925202E-12	7.0314110E-12
-2.0286286E+0	-225.74666E-12	-2.0286286E+0	-60.907659E-9	6.3568669E-12	6.9957490E-12
-2.0255253E+0	-224.66869E-12	-2.0255253E+0	-60.907659E-9	6.3568617E-12	7.0080339E-12
-2.0224223E+0	-223.55484E-12	-2.0224223E+0	-60.907659E-9	6.3775747E-12	7.0401289E-12
-2.0193193E+0	-222.98673E-12	-2.0193193E+0	-60.907659E-9	6.3865579E-12	6.9834208E-12
-2.0162160E+0	-221.31444E-12	-2.0162160E+0	-60.907659E-9	6.3362740E-12	7.0317263E-12
-2.0131130E+0	-220.66708E-12	-2.0131130E+0	-60.907659E-9	6.3406979E-12	7.0248863E-12
-2.0100100E+0	-219.42284E-12	-2.0100100E+0	-60.907659E-9	6.4045687E-12	6.9955721E-12
-2.0069067E+0	-217.93578E-12	-2.0069067E+0	-60.907659E-9	6.3644493E-12	7.0463167E-12
-2.0038037E+0	-216.63159E-12	-2.0038037E+0	-60.907659E-9	6.3405934E-12	7.0115307E-12
-2.0007007E+0	-216.06368E-12	-2.0007007E+0	-60.907659E-9	6.3830720E-12	7.0163476E-12
-1.9975975E+0	-215.20136E-12	-1.9975975E+0	-60.907659E-9	6.3796394E-12	7.0131587E-12
-1.9944944E+0	-214.21877E-12	-1.9944944E+0	-60.907659E-9	6.3755325E-12	7.0063417E-12
-1.9913913E+0	-213.25904E-12	-1.9913913E+0	-60.907659E-9	6.3588223E-12	7.0041451E-12
-1.9882882E+0	-212.18449E-12	-1.9882882E+0	-60.907659E-9	6.3208948E-12	7.0130629E-12
-1.9851851E+0	-210.92762E-12	-1.9851851E+0	-60.907659E-9	6.3101555E-12	6.9999315E-12
-1.9820820E+0	-209.35782E-12	-1.9820820E+0	-60.907659E-9	6.3273510E-12	6.9818791E-12
-1.9789789E+0	-208.79706E-12	-1.9789789E+0	-60.907659E-9	6.3165402E-12	7.0313139E-12
-1.9758757E+0	-208.12710E-12	-1.9758757E+0	-60.907659E-9	6.3595956E-12	7.0521653E-12
-1.9727727E+0	-207.00751E-12	-1.9727727E+0	-60.907659E-9	6.3643791E-12	7.0255043E-12
-1.9696696E+0	-204.99365E-12	-1.9696696E+0	-60.907659E-9	6.3353871E-12	6.9973432E-12
-1.9665664E+0	-203.83303E-12	-1.9665664E+0	-60.907659E-9	6.2812633E-12	7.0212091E-12
-1.9634633E+0	-203.51192E-12	-1.9634634E+0	-60.907659E-9	6.3391111E-12	7.0076679E-12
-1.9603603E+0	-202.91585E-12	-1.9603603E+0	-60.907659E-9	6.2956728E-12	7.0052089E-12
-1.9572572E+0	-202.20582E-12	-1.9572572E+0	-60.907659E-9	6.2973233E-12	7.0315980E-12
-1.9541540E+0	-200.87737E-12	-1.9541540E+0	-60.907659E-9	6.2969382E-12	7.0217751E-12
-1.9510510E+0	-199.89348E-12	-1.9510510E+0	-60.907659E-9	6.2735776E-12	7.0873515E-12
-1.9479479E+0	-198.73417E-12	-1.9479479E+0	-60.907659E-9	6.2679497E-12	7.0355028E-12
-1.9448447E+0	-197.96004E-12	-1.9448447E+0	-60.907659E-9	6.2935239E-12	7.0350813E-12
-1.9417417E+0	-196.37679E-12	-1.9417417E+0	-60.907659E-9	6.2972067E-12	7.0361421E-12
-1.9386386E+0	-195.54769E-12	-1.9386386E+0	-60.907659E-9	6.2840544E-12	7.0615367E-12
-1.9355354E+0	-195.04423E-12	-1.9355354E+0	-60.907659E-9	6.2304675E-12	7.0611290E-12
-1.9324323E+0	-194.19352E-12	-1.9324323E+0	-60.907659E-9	6.2733091E-12	7.0760828E-12
-1.9293293E+0	-192.94341E-12	-1.9293293E+0	-60.907659E-9	6.2265176E-12	7.0838730E-12
-1.9262261E+0	-192.26619E-12	-1.9262261E+0	-60.907659E-9	6.2551405E-12	7.0493182E-12
-1.9231230E+0	-191.54711E-12	-1.9231230E+0	-60.907659E-9	6.2677415E-12	7.1182162E-12
-1.9200199E+0	-190.13277E-12	-1.9200200E+0	-60.907659E-9	6.2834438E-12	7.0065260E-12
