Experiment	bias spectroscopy	
Saved Date	11.08.2022 10:07:27	
User		
Date		
X (m)	89.7518E-9	
Y (m)	111.419E-9	
Z (m)	-60.9077E-9	
Z offset (m)	0E+0	
Settling time (s)	25E-3	
Integration time (s)	250E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	11.08.2022 10:02:50	
Filter type	None	
Order		
Cutoff frq		
Comment01	Vac_S.1 background	
Bias>Bias (V)	-2.1E+0	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	-80E-6	
Bias Spectroscopy>Sweep Start (V)	-2.1E+0	
Bias Spectroscopy>Sweep End (V)	1E+0	
Bias Spectroscopy>Num Pixel	1000	
Bias Spectroscopy>Z Avg time (s)	500E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	1E+0	
Bias Spectroscopy>Settling time (s)	25E-3	
Bias Spectroscopy>Integration time (s)	250E-3	
Bias Spectroscopy>End Settling time (s)	100E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	FALSE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A);Bias (V);Z (m);LI Demod 1 X (A);LI Demod 1 Y (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	TRUE	
Current>Current (A)	62.2502E-12	
Current>Calibration (A/V)	1E-9	
Current>Offset (A)	-201.468E-15	
Current>Gain	LN 10^9	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	681E+0	
Lock-in>Amplitude	10E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	9.71405E+0	
Lock-in>HP Filter Cutoff D2 (Hz)	9.71405E+0	
Lock-in>HP Filter Order D1	OFF	
Lock-in>HP Filter Order D2	OFF	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	2	
Lock-in>Reference phase D1 (deg)	-31.2984E+0	
Lock-in>Reference phase D2 (deg)	0E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	38.8562E+0	
Lock-in>LP Filter Cutoff D2 (Hz)	621.699E+0	
Lock-in>LP Filter Order D1	4	
Lock-in>LP Filter Order D2	4	
Lock-in>Sync Filter D1	OFF	
Lock-in>Sync Filter D2	ON	
NanonisMain>Session Path	C:\DATA\huly\Re-MoS2\RT009\prep7\07_01_RT009	
NanonisMain>SW Version	Generic 5e	
NanonisMain>UI Release	11796	
NanonisMain>RT Release	11796	
NanonisMain>RT Frequency (Hz)	20E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Acquisition Period (s)	20E-3	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Oscillation Control>differential input	TRUE	
Oscillation Control>input 1/10	FALSE	
Oscillation Control>Input Calibration (m/V)	73.3E-9	
Oscillation Control>Input Range (m)	500E-12	
Oscillation Control>Center Frequency (Hz)	29.9368E+3	
Oscillation Control>Range (Hz)	76.2939E+0	
Oscillation Control>Demod 1 Input	1	
Oscillation Control>Demod 2 Input	1	
Oscillation Control>Demod 3 Input	1	
Oscillation Control>Demod 4 Input	1	
Oscillation Control>Demod 1 Frequency	1	
Oscillation Control>Demod 2 Frequency	1	
Oscillation Control>Demod 3 Frequency	1	
Oscillation Control>Demod 4 Frequency	1	
Oscillation Control>Demod 1 Reference Phase (deg)	74.31E+0	
Oscillation Control>Demod 2 Reference Phase (deg)	44.2121E+0	
Oscillation Control>Demod 3 Reference Phase (deg)	44.1993E+0	
Oscillation Control>Demod 4 Reference Phase (deg)	44.2044E+0	
Oscillation Control>Demod 1 Cut off frq (Hz)	777	
Oscillation Control>Demod 2 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 3 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 4 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 1 Harmonic	1	
Oscillation Control>Demod 2 Harmonic	1	
Oscillation Control>Demod 3 Harmonic	1	
Oscillation Control>Demod 4 Harmonic	1	
Oscillation Control>Demod 1 Filter Order	2	
Oscillation Control>Demod 2 Filter Order	2	
Oscillation Control>Demod 3 Filter Order	2	
Oscillation Control>Demod 4 Filter Order	2	
Oscillation Control>Phase P gain (Hz/rad)	698.132E-3	
Oscillation Control>Phase I gain (Hz/rad/s)	1.39981E+0	
Oscillation Control>Phase controller on	FALSE	
Oscillation Control>FrequencyShift (Hz)	0E+0	
Oscillation Control>Amplitude Setpoint (m)	100E-12	
Oscillation Control>Amplitude P gain (V/nm)	80.3224E+9	
Oscillation Control>Amplitude I gain (V/nm/s)	161.052E+9	
Oscillation Control>Amplitude controller on	FALSE	
Oscillation Control>Excitation (V)	-96.6069E-3	
Oscillation Control>Output Ampl. Range (V)	0.1	
Oscillation Control>output off	FALSE	
Oscillation Control>output add	FALSE	
Oscillation Control>PLL-Setup Q-Factor	23.544E+3	
Oscillation Control>PLL-Setup Demod. Bandwidth Amp (Hz)	234.699E+0	
Oscillation Control>PLL-Setup Demod. Bandwidth Pha (Hz)	40E+0	
Oscillation Control>PLL-Setup amplitude/excitation (m/V)	4.596E-9	
Temperature 2>Temperature 2 (K)	4.83889E+0	
Z-Controller>Z (m)	-60.9077E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	OFF	
Z-Controller>Setpoint	250E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	5E-12	
Z-Controller>I gain	16.6667E-9	
Z-Controller>Time const (s)	300E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	
Current (A)	-35.837829E-12	
Z (m)	-60.907659E-9	
LI Demod 1 X (A)	-36.848684E-15	
LI Demod 1 Y (A)	-69.725929E-15	

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)
-2.0999999E+0	-35.794118E-12	-2.0999999E+0	-60.907659E-9	3.8081283E-12	10.123511E-12
-2.0968969E+0	-34.403431E-12	-2.0968969E+0	-60.907659E-9	3.8407025E-12	10.145223E-12
-2.0937936E+0	-33.054490E-12	-2.0937936E+0	-60.907659E-9	3.8956269E-12	10.131915E-12
-2.0906906E+0	-31.668564E-12	-2.0906906E+0	-60.907659E-9	3.8948107E-12	10.124864E-12
-2.0875876E+0	-30.227123E-12	-2.0875876E+0	-60.907659E-9	3.9874315E-12	10.101715E-12
-2.0844843E+0	-28.835514E-12	-2.0844843E+0	-60.907659E-9	4.0287821E-12	10.136567E-12
-2.0813813E+0	-27.389277E-12	-2.0813813E+0	-60.907659E-9	4.0794894E-12	10.114141E-12
-2.0782781E+0	-25.917501E-12	-2.0782781E+0	-60.907659E-9	4.1151900E-12	10.126820E-12
-2.0751750E+0	-24.419512E-12	-2.0751750E+0	-60.907659E-9	4.1172122E-12	10.105636E-12
-2.0720720E+0	-22.999460E-12	-2.0720720E+0	-60.907659E-9	4.1663339E-12	10.108635E-12
-2.0689688E+0	-21.518867E-12	-2.0689688E+0	-60.907659E-9	4.1533092E-12	10.114349E-12
-2.0658658E+0	-20.000099E-12	-2.0658658E+0	-60.907659E-9	4.1557092E-12	10.123027E-12
-2.0627627E+0	-18.514910E-12	-2.0627627E+0	-60.907659E-9	4.1386890E-12	10.096114E-12
-2.0596595E+0	-17.080816E-12	-2.0596595E+0	-60.907659E-9	4.1026288E-12	10.089561E-12
-2.0565565E+0	-15.663150E-12	-2.0565565E+0	-60.907659E-9	4.0357457E-12	10.104882E-12
-2.0534534E+0	-14.203637E-12	-2.0534534E+0	-60.907659E-9	3.9124728E-12	10.097970E-12
-2.0503502E+0	-12.809649E-12	-2.0503502E+0	-60.907659E-9	3.8075068E-12	10.122876E-12
-2.0472472E+0	-11.534138E-12	-2.0472472E+0	-60.907659E-9	3.6268553E-12	10.124250E-12
-2.0441442E+0	-10.203479E-12	-2.0441442E+0	-60.907659E-9	3.4086447E-12	10.124991E-12
-2.0410409E+0	-9.0555671E-12	-2.0410409E+0	-60.907659E-9	3.2193955E-12	10.145815E-12
-2.0379379E+0	-8.0091836E-12	-2.0379379E+0	-60.907659E-9	3.0060420E-12	10.164727E-12
-2.0348349E+0	-6.9663056E-12	-2.0348346E+0	-60.907659E-9	2.7369170E-12	10.189978E-12
-2.0317316E+0	-6.0354087E-12	-2.0317316E+0	-60.907659E-9	2.4597438E-12	10.173564E-12
-2.0286286E+0	-5.2767343E-12	-2.0286286E+0	-60.907659E-9	2.2159323E-12	10.191436E-12
-2.0255253E+0	-4.5017406E-12	-2.0255253E+0	-60.907659E-9	1.9156647E-12	10.199245E-12
-2.0224223E+0	-3.8398646E-12	-2.0224223E+0	-60.907659E-9	1.6891768E-12	10.180248E-12
-2.0193193E+0	-3.3060406E-12	-2.0193193E+0	-60.907659E-9	1.4631019E-12	10.213747E-12
-2.0162160E+0	-2.8528074E-12	-2.0162160E+0	-60.907659E-9	1.2340710E-12	10.230460E-12
-2.0131130E+0	-2.4475463E-12	-2.0131130E+0	-60.907659E-9	1.0568776E-12	10.220558E-12
-2.0100100E+0	-2.0831572E-12	-2.0100100E+0	-60.907659E-9	921.80723E-15	10.245789E-12
-2.0069067E+0	-1.8139686E-12	-2.0069067E+0	-60.907659E-9	769.95783E-15	10.253393E-12
-2.0038037E+0	-1.5951932E-12	-2.0038037E+0	-60.907659E-9	640.25331E-15	10.241232E-12
-2.0007007E+0	-1.3827768E-12	-2.0007007E+0	-60.907659E-9	548.72513E-15	10.261599E-12
-1.9975975E+0	-1.1976042E-12	-1.9975975E+0	-60.907659E-9	460.90914E-15	10.239789E-12
-1.9944944E+0	-1.0816319E-12	-1.9944944E+0	-60.907659E-9	422.11959E-15	10.240507E-12
-1.9913913E+0	-965.07134E-15	-1.9913913E+0	-60.907659E-9	351.22038E-15	10.258316E-12
-1.9882882E+0	-829.34207E-15	-1.9882882E+0	-60.907659E-9	305.99254E-15	10.259622E-12
-1.9851851E+0	-750.67442E-15	-1.9851851E+0	-60.907659E-9	291.17905E-15	10.252411E-12
-1.9820820E+0	-710.66319E-15	-1.9820820E+0	-60.907659E-9	238.31382E-15	10.243917E-12
-1.9789789E+0	-646.66642E-15	-1.9789789E+0	-60.907659E-9	227.94500E-15	10.254199E-12
-1.9758757E+0	-563.35736E-15	-1.9758757E+0	-60.907659E-9	211.05035E-15	10.273825E-12
-1.9727727E+0	-532.15613E-15	-1.9727727E+0	-60.907659E-9	209.12402E-15	10.231638E-12
-1.9696696E+0	-499.69317E-15	-1.9696696E+0	-60.907659E-9	175.93754E-15	10.269084E-12
-1.9665664E+0	-448.47362E-15	-1.9665664E+0	-60.907659E-9	184.19847E-15	10.261814E-12
-1.9634633E+0	-394.59408E-15	-1.9634634E+0	-60.907659E-9	166.13378E-15	10.246547E-12
-1.9603603E+0	-393.00518E-15	-1.9603603E+0	-60.907659E-9	171.63575E-15	10.277612E-12
-1.9572572E+0	-368.80237E-15	-1.9572572E+0	-60.907659E-9	175.41091E-15	10.276877E-12
-1.9541540E+0	-317.78882E-15	-1.9541540E+0	-60.907659E-9	140.25574E-15	10.271379E-12
-1.9510510E+0	-296.41637E-15	-1.9510510E+0	-60.907659E-9	145.55681E-15	10.238435E-12
-1.9479479E+0	-288.38135E-15	-1.9479479E+0	-60.907659E-9	140.48275E-15	10.246391E-12
-1.9448447E+0	-266.57038E-15	-1.9448447E+0	-60.907659E-9	109.16245E-15	10.247130E-12
-1.9417417E+0	-229.52500E-15	-1.9417417E+0	-60.907659E-9	140.46740E-15	10.266005E-12
-1.9386386E+0	-236.87232E-15	-1.9386386E+0	-60.907659E-9	135.96075E-15	10.273872E-12
-1.9355354E+0	-231.61984E-15	-1.9355354E+0	-60.907659E-9	131.53496E-15	10.270318E-12
-1.9324323E+0	-194.26427E-15	-1.9324323E+0	-60.907659E-9	114.88895E-15	10.265970E-12
-1.9293293E+0	-190.12053E-15	-1.9293293E+0	-60.907659E-9	92.257792E-15	10.259485E-12
-1.9262261E+0	-186.09235E-15	-1.9262261E+0	-60.907659E-9	122.40759E-15	10.258290E-12
-1.9231230E+0	-167.01988E-15	-1.9231230E+0	-60.907659E-9	95.765260E-15	10.265016E-12
-1.9200199E+0	-140.41784E-15	-1.9200200E+0	-60.907659E-9	92.481646E-15	10.259128E-12
-1.9169168E+0	-148.44647E-15	-1.9169168E+0	-60.907659E-9	88.972002E-15	10.259658E-12
-1.9138137E+0	-156.37502E-15	-1.9138137E+0	-60.907659E-9	80.632834E-15	10.259883E-12
-1.9107106E+0	-115.50342E-15	-1.9107106E+0	-60.907659E-9	105.40011E-15	10.247480E-12
-1.9076076E+0	-106.24313E-15	-1.9076076E+0	-60.907659E-9	105.37030E-15	10.284953E-12
-1.9045044E+0	-123.75425E-15	-1.9045044E+0	-60.907659E-9	98.064060E-15	10.242990E-12
-1.9014013E+0	-113.43673E-15	-1.9014013E+0	-60.907659E-9	96.881812E-15	10.263523E-12
-1.8982983E+0	-86.466539E-15	-1.8982983E+0	-60.907659E-9	87.976874E-15	10.267882E-12
-1.8951951E+0	-75.579218E-15	-1.8951951E+0	-60.907659E-9	78.014906E-15	10.258214E-12
-1.8920920E+0	-88.281216E-15	-1.8920920E+0	-60.907659E-9	101.42979E-15	10.253525E-12
-1.8889889E+0	-88.335121E-15	-1.8889889E+0	-60.907659E-9	92.661738E-15	10.242075E-12
-1.8858858E+0	-56.740806E-15	-1.8858858E+0	-60.907659E-9	101.62417E-15	10.279505E-12
-1.8827827E+0	-77.897168E-15	-1.8827827E+0	-60.907659E-9	101.97140E-15	10.269358E-12
-1.8796796E+0	-79.371520E-15	-1.8796796E+0	-60.907659E-9	84.062131E-15	10.253546E-12
-1.8765764E+0	-58.765716E-15	-1.8765765E+0	-60.907659E-9	71.053372E-15	10.238409E-12
-1.8734734E+0	-51.127915E-15	-1.8734734E+0	-60.907659E-9	90.001899E-15	10.249763E-12
-1.8703703E+0	-64.019082E-15	-1.8703703E+0	-60.907659E-9	102.11925E-15	10.265876E-12
-1.8672671E+0	-50.639926E-15	-1.8672671E+0	-60.907659E-9	84.883984E-15	10.245219E-12
-1.8641641E+0	-24.366048E-15	-1.8641641E+0	-60.907659E-9	85.265189E-15	10.264273E-12
-1.8610610E+0	-29.606959E-15	-1.8610610E+0	-60.907659E-9	83.385223E-15	10.253819E-12
-1.8579578E+0	-63.223881E-15	-1.8579578E+0	-60.907659E-9	84.284129E-15	10.270458E-12
-1.8548548E+0	-46.000042E-15	-1.8548548E+0	-60.907659E-9	86.362761E-15	10.261480E-12
-1.8517517E+0	-34.477090E-15	-1.8517517E+0	-60.907659E-9	97.519201E-15	10.274567E-12
-1.8486485E+0	-42.535701E-15	-1.8486485E+0	-60.907659E-9	98.385703E-15	10.253853E-12
-1.8455455E+0	-48.916170E-15	-1.8455454E+0	-60.907659E-9	88.184092E-15	10.260777E-12
-1.8424424E+0	-29.428954E-15	-1.8424424E+0	-60.907659E-9	94.374595E-15	10.268652E-12
-1.8393393E+0	-19.903741E-15	-1.8393393E+0	-60.907659E-9	67.826800E-15	10.267472E-12
