Experiment	bias spectroscopy	
Saved Date	11.08.2022 08:07:20	
User		
Date		
X (m)	72.1665E-9	
Y (m)	64.7783E-9	
Z (m)	-61.0693E-9	
Z offset (m)	0E+0	
Settling time (s)	25E-3	
Integration time (s)	10E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	11.08.2022 08:07:12	
Filter type	None	
Order		
Cutoff frq		
Bias>Bias (V)	700E-3	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	-80E-6	
Bias Spectroscopy>Sweep Start (V)	700E-3	
Bias Spectroscopy>Sweep End (V)	-700E-3	
Bias Spectroscopy>Num Pixel	200	
Bias Spectroscopy>Z Avg time (s)	500E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	1E+0	
Bias Spectroscopy>Settling time (s)	25E-3	
Bias Spectroscopy>Integration time (s)	10E-3	
Bias Spectroscopy>End Settling time (s)	100E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	FALSE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A);Bias (V);Z (m);LI Demod 1 X (A);LI Demod 1 Y (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	TRUE	
Current>Current (A)	12.6187E-12	
Current>Calibration (A/V)	1E-9	
Current>Offset (A)	-201.468E-15	
Current>Gain	LN 10^9	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	681E+0	
Lock-in>Amplitude	10E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	9.71405E+0	
Lock-in>HP Filter Cutoff D2 (Hz)	9.71405E+0	
Lock-in>HP Filter Order D1	OFF	
Lock-in>HP Filter Order D2	OFF	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	2	
Lock-in>Reference phase D1 (deg)	-31.2984E+0	
Lock-in>Reference phase D2 (deg)	0E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	38.8562E+0	
Lock-in>LP Filter Cutoff D2 (Hz)	621.699E+0	
Lock-in>LP Filter Order D1	4	
Lock-in>LP Filter Order D2	4	
Lock-in>Sync Filter D1	OFF	
Lock-in>Sync Filter D2	ON	
NanonisMain>Session Path	C:\DATA\huly\Re-MoS2\RT009\prep7\07_01_RT009	
NanonisMain>SW Version	Generic 5e	
NanonisMain>UI Release	11796	
NanonisMain>RT Release	11796	
NanonisMain>RT Frequency (Hz)	20E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Acquisition Period (s)	20E-3	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Oscillation Control>differential input	TRUE	
Oscillation Control>input 1/10	FALSE	
Oscillation Control>Input Calibration (m/V)	73.3E-9	
Oscillation Control>Input Range (m)	500E-12	
Oscillation Control>Center Frequency (Hz)	29.9368E+3	
Oscillation Control>Range (Hz)	76.2939E+0	
Oscillation Control>Demod 1 Input	1	
Oscillation Control>Demod 2 Input	1	
Oscillation Control>Demod 3 Input	1	
Oscillation Control>Demod 4 Input	1	
Oscillation Control>Demod 1 Frequency	1	
Oscillation Control>Demod 2 Frequency	1	
Oscillation Control>Demod 3 Frequency	1	
Oscillation Control>Demod 4 Frequency	1	
Oscillation Control>Demod 1 Reference Phase (deg)	74.31E+0	
Oscillation Control>Demod 2 Reference Phase (deg)	44.2121E+0	
Oscillation Control>Demod 3 Reference Phase (deg)	44.1993E+0	
Oscillation Control>Demod 4 Reference Phase (deg)	44.2044E+0	
Oscillation Control>Demod 1 Cut off frq (Hz)	777	
Oscillation Control>Demod 2 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 3 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 4 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 1 Harmonic	1	
Oscillation Control>Demod 2 Harmonic	1	
Oscillation Control>Demod 3 Harmonic	1	
Oscillation Control>Demod 4 Harmonic	1	
Oscillation Control>Demod 1 Filter Order	2	
Oscillation Control>Demod 2 Filter Order	2	
Oscillation Control>Demod 3 Filter Order	2	
Oscillation Control>Demod 4 Filter Order	2	
Oscillation Control>Phase P gain (Hz/rad)	698.132E-3	
Oscillation Control>Phase I gain (Hz/rad/s)	1.39981E+0	
Oscillation Control>Phase controller on	FALSE	
Oscillation Control>FrequencyShift (Hz)	0E+0	
Oscillation Control>Amplitude Setpoint (m)	100E-12	
Oscillation Control>Amplitude P gain (V/nm)	80.3224E+9	
Oscillation Control>Amplitude I gain (V/nm/s)	161.052E+9	
Oscillation Control>Amplitude controller on	FALSE	
Oscillation Control>Excitation (V)	-96.6069E-3	
Oscillation Control>Output Ampl. Range (V)	0.1	
Oscillation Control>output off	FALSE	
Oscillation Control>output add	FALSE	
Oscillation Control>PLL-Setup Q-Factor	23.544E+3	
Oscillation Control>PLL-Setup Demod. Bandwidth Amp (Hz)	234.699E+0	
Oscillation Control>PLL-Setup Demod. Bandwidth Pha (Hz)	40E+0	
Oscillation Control>PLL-Setup amplitude/excitation (m/V)	4.596E-9	
Temperature 2>Temperature 2 (K)	4.83812E+0	
Z-Controller>Z (m)	-61.0695E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	50E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	5E-12	
Z-Controller>I gain	16.6667E-9	
Z-Controller>Time const (s)	300E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)
699.99999E-3	50.225300E-12	699.99999E-3	-61.069308E-9	8.5733608E-12	5.7608371E-12
692.96479E-3	46.115289E-12	692.96479E-3	-61.069308E-9	7.9711819E-12	6.0755433E-12
685.92966E-3	42.093596E-12	685.92966E-3	-61.069308E-9	7.6620359E-12	6.2591885E-12
678.89446E-3	39.150190E-12	678.89446E-3	-61.069308E-9	7.3803888E-12	6.3942280E-12
671.85926E-3	35.179488E-12	671.85926E-3	-61.069308E-9	7.2259486E-12	6.5525189E-12
664.82413E-3	31.904236E-12	664.82413E-3	-61.069308E-9	6.8555881E-12	6.6804097E-12
657.78893E-3	29.177390E-12	657.78893E-3	-61.069308E-9	6.7541120E-12	6.7593049E-12
650.75374E-3	27.402488E-12	650.75374E-3	-61.069308E-9	6.5382192E-12	6.8733049E-12
643.71860E-3	24.433854E-12	643.71860E-3	-61.069308E-9	6.4777203E-12	6.9393618E-12
636.68340E-3	21.867442E-12	636.68340E-3	-61.069308E-9	6.3808008E-12	6.9518289E-12
629.64821E-3	19.455061E-12	629.64821E-3	-61.069308E-9	6.1587506E-12	7.0496022E-12
622.61307E-3	17.320874E-12	622.61307E-3	-61.069308E-9	6.0028809E-12	7.1034125E-12
615.57788E-3	15.771483E-12	615.57788E-3	-61.069308E-9	5.8356345E-12	7.1700801E-12
608.54268E-3	13.969647E-12	608.54268E-3	-61.069308E-9	5.7448477E-12	7.2029830E-12
601.50754E-3	12.191140E-12	601.50754E-3	-61.069308E-9	5.7448438E-12	7.3119774E-12
594.47235E-3	10.925285E-12	594.47235E-3	-61.069308E-9	5.6989864E-12	7.3366964E-12
587.43715E-3	8.9206966E-12	587.43715E-3	-61.069308E-9	5.5444178E-12	7.4840568E-12
580.40202E-3	7.2969677E-12	580.40202E-3	-61.069308E-9	5.4011478E-12	7.6493924E-12
573.36682E-3	6.2167142E-12	573.36682E-3	-61.069308E-9	5.2799397E-12	7.5882755E-12
566.33162E-3	5.5848551E-12	566.33162E-3	-61.069308E-9	5.2290199E-12	7.6406667E-12
559.29649E-3	4.2880413E-12	559.29649E-3	-61.069308E-9	5.0816998E-12	7.6905348E-12
552.26129E-3	3.2568295E-12	552.26129E-3	-61.069308E-9	4.9829971E-12	7.7285478E-12
545.22610E-3	2.2779857E-12	545.22610E-3	-61.069308E-9	4.8105439E-12	7.8119551E-12
538.19096E-3	1.6979305E-12	538.19096E-3	-61.069308E-9	4.6251961E-12	8.0062580E-12
531.15577E-3	1.3669141E-12	531.15577E-3	-61.069308E-9	4.4920131E-12	7.9509602E-12
524.12057E-3	1.1619427E-12	524.12057E-3	-61.069308E-9	4.4050909E-12	7.9947949E-12
517.08543E-3	1.0369428E-12	517.08543E-3	-61.069308E-9	4.3752458E-12	8.0068244E-12
510.05024E-3	638.10090E-15	510.05024E-3	-61.069308E-9	4.2637682E-12	8.1473803E-12
503.01504E-3	323.64777E-15	503.01504E-3	-61.069308E-9	4.2492099E-12	8.2920554E-12
495.97991E-3	87.327301E-15	495.97991E-3	-61.069308E-9	4.0885273E-12	8.2188466E-12
488.94471E-3	250.54289E-15	488.94471E-3	-61.069308E-9	4.1781231E-12	8.1215451E-12
481.90954E-3	458.93980E-15	481.90954E-3	-61.069308E-9	4.1743028E-12	8.1650442E-12
474.87438E-3	468.69019E-15	474.87438E-3	-61.069308E-9	4.1693116E-12	8.1514682E-12
467.83918E-3	410.22613E-15	467.83918E-3	-61.069308E-9	4.2239818E-12	8.2285533E-12
460.80402E-3	126.83233E-15	460.80402E-3	-61.069308E-9	4.1193359E-12	8.1873709E-12
453.76885E-3	-19.713130E-15	453.76885E-3	-61.069308E-9	4.1377526E-12	8.2101756E-12
446.73365E-3	44.694253E-15	446.73365E-3	-61.069308E-9	4.1106086E-12	8.1873796E-12
439.69849E-3	445.39004E-15	439.69849E-3	-61.069308E-9	4.0879977E-12	8.1324756E-12
432.66332E-3	469.93382E-15	432.66332E-3	-61.069308E-9	4.0783943E-12	8.1391378E-12
425.62813E-3	326.49353E-15	425.62813E-3	-61.069308E-9	4.1637874E-12	8.2067140E-12
418.59296E-3	148.73628E-15	418.59296E-3	-61.069308E-9	4.1501537E-12	8.2109519E-12
411.55779E-3	-387.84718E-18	411.55779E-3	-61.069308E-9	4.1070645E-12	8.2615902E-12
404.52260E-3	109.75009E-15	404.52260E-3	-61.069308E-9	4.1624369E-12	8.2459942E-12
397.48743E-3	367.76856E-15	397.48743E-3	-61.069308E-9	4.1227698E-12	8.1721036E-12
390.45227E-3	435.70833E-15	390.45227E-3	-61.069308E-9	4.1966435E-12	8.2005036E-12
383.41707E-3	361.50483E-15	383.41707E-3	-61.069308E-9	4.1660594E-12	8.1935804E-12
376.38190E-3	170.63263E-15	376.38190E-3	-61.069308E-9	4.0800458E-12	8.1543661E-12
369.34674E-3	-28.853107E-15	369.34674E-3	-61.069308E-9	4.1899370E-12	8.2805906E-12
362.31154E-3	55.886573E-15	362.31154E-3	-61.069308E-9	4.0235116E-12	8.2050504E-12
355.27638E-3	260.36955E-15	355.27638E-3	-61.069308E-9	4.0878078E-12	8.1518559E-12
348.24121E-3	441.83472E-15	348.24121E-3	-61.069308E-9	4.1343157E-12	8.1389877E-12
341.20601E-3	363.51136E-15	341.20601E-3	-61.069308E-9	4.1180570E-12	8.1852043E-12
334.17085E-3	114.11409E-15	334.17085E-3	-61.069308E-9	4.1717727E-12	8.2897335E-12
327.13568E-3	-47.644316E-15	327.13568E-3	-61.069308E-9	4.1618293E-12	8.2265948E-12
320.10049E-3	8.1570670E-15	320.10049E-3	-61.069308E-9	4.0550389E-12	8.1882452E-12
